hubTitle	entity
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · Polyglot.
Bibeln	Bibeln. · 1601 · eng
Mishna. Avot	Mishna. · [Avot. Tyska]
Kalevala. Urval	Kalevala. · Urval · hun
Bibeln. Jesaja	Bibeln. · [Jesaja.] · 1917 · swe
Ilias Byzantina	Ilias Byzantina. · ita
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 2018 · Grekiska.
Bibeln. Jesaja	Bibeln. · [Jesaja. Franska]
Bibeln. Höga visan	Bible. · [O.T., Song of Solomon.] · Fenner. · 1594. · eng
Purana. Bhagavatapurana	Bhagavatapurana. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 2005 · NT 81. · swe
Bibeln. Nya Testamentet	Bible. · [N.T.] · Bèze. · 1699. · lat
Tipitaka. Vinayapiṭaka	Tipiṭaka. · [Vinayapiṭaka.]
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna. Samaritansk arameiska]
Bibeln	Bibeln. · Authorized. · 1903 · eng
Bibeln	Bibeln. · 1877 · eng
Bibeln	Bibeln. · Authorized. · 1673. · eng
Guillaume le Maréchal	Histoire de Guillaume le Maréchal. · eng · fro
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · Balkariska
Bibeln. Uppenbarelseboken	Bibeln. · [Uppenbarelseboken.] · Giertz. · 1980 · swe
Tosefta	Tosefta. · eng
Bibeln. Apostlagärningarna	Raamattu. · [UT., Apostolien teot]
Bibeln	Bibeln. Slovakiska
Bibeln. Ordspråksboken	Bibeln. · [Ordspråksboken.] · 1964 · eng
Bibeln	Bibeln. · 1992 · dan
Purana. Viṣṇudharmottarapurāṇa	Viṣṇudharmāḥ
Bibeln. Evangelierna	Bible. · [N.T., Gospels., White.] · Latin and Syriac.
Bibeln	Bibeln. · Contemporary English. · eng
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1711 · ger
Talmud. Urval	Talmud. Danska. · Urval
Amadis de Gaula	Amadís de Gaula
Bibeln. Nya Testamentet	Biblia pauperum · ger · lat
Bibeln	Bibeln. · Nova Vulgata · lat
Bhagavadgītā. Urval	Bhagavadgītā. · Urval. · Thomas. · 1948 · eng
Friðþjófs saga	Friðþjófs saga. · nor
Bibeln	Bibeln. · 1703. · 1736 Schneidler. · swe
Dödahavsrullarna. Urval	Dead Sea scrolls. · Selections. · eng · arc · heb
Bibeln. Apokryferna	Bibeln. · [Apokryferna.] · Engelska & armeniska
Bibeln	Bibeln · 1701 · lat
Gísla saga Súrssonar	Gísla saga Súrssonar. · dut
Hallfreðar saga Vandræðaskálds	Hallfreðar saga vandræðaskálds. · swe
Bibeln. Predikaren	Bible. · [O.T., Ecclesiastes.] · lat
Maḥzor. Sukkot	Maḥzor. · [Lövhyddohögtiden] · Tyska & hebreiska
De tolv patriarkernas testamenten	Testaments of the twelve patriarchs. · 1666. · eng
Upanishaderna. Avyaktopanişad	Upanishaderna. · [Avyaktopanişad.] · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Message. · 2015 · swe
Bibeln. Johannesevangeliet	Bible. · [N.T., John I.] · Polyglot.
Nikodemosevangeliet	Nikodemosevangeliet. · Iriska & Engelska
Orkneyinga saga	Orkneyinga saga. · Engelska & Fornisländska
Bibeln	Bibeln. · 1846 · grc · lat · ger
Bibeln. Nya Testamentet	Bible. · Selections · 1596. · lat
Bibeln	Bibeln. · Authorized. · 1649. · eng
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · fin
Bibeln. Urval	Bibeln. · Urval · swe
Josippon	Josippon. · Tyska & hebreiska
Bibeln. Amos	Bibeln. · [Amos.] · 1991 · eng
Bibeln	Bibeln. · 1827 · gle
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1618 · lat
Haggada	Haggada. · Jiddisch & hebreiska
Dödahavsrullarna	Bibeln. · [Gamla Testamentet.] · Dödahavsrullarna. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · lav
Bibeln. Kungaboken 2	Bibeln. · [Nya Testamentet.] · 1966 · swe · eng
Sir Gawain and the Green Knight	Sir Gawain and the Green Knight. Medelengelska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Tonga
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1819 · Grekiska & Nygrekiska.
Bibeln. Korinthierbreven	Bibeln. · [Korinthierbreven.] · Wells. · Polyglott.
Bibeln. Moseböckerna	Moseboken I-V
Kalīlah wa-Dimnah	Kalīla wa-Dimna. Engelska
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet. Estniska]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Kyrkoslaviska & Ryska
Bibeln	Bibeln. · Vulgata. · 1832 · lat
Sept sages de Rome	Seven sages of Rome.
Chanson de Roland	Chanson de Roland. · fre · ita
Bibeln. Rut	Bibeln. · [Rut.] · eng
Bibeln. Urval	Bibeln. · Urval · enm
Zohar. Urval	Zohar · Urval · ger
Heilagra manna sögur	Heilagra manna sögur. · 1877
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · swe
Josippon	Josippon. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1907. · 1924 · dan
Tipitaka. Suttapiṭaka. Majjhimanikāya. Mūlapaṇṇāsa	Tipitaṭaka. · [Suttantapiṭaka., Majjhimanikāya., Mūlapaṇṇāsa.] · pli
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1733 · fin
Bibeln	Bibeln · 1586 · ger
Hymn till Demeter	Demeterhymnen. · Engelska & grekiska
Henoksboken 1	Henoksboken 1. · grc · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1584 · Polyglott.
Bibeln	Bibeln. · Authorized. · 1650. · eng
Bibeln. Nya Testamentet	Bibeln. · [Lukasevangeliet.] · luo
Þorsteins saga Víkingssonar	Þorsteins saga Vikingssonar. · swe
Bibeln. Profetiska böckerna	Bibeln. · [Profetiska böckerna.] · hrv
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1668 · dut
Bibeln. Psaltaren. Urval	Bible. · [O.T., Psalms., Daniel.] · Selections. · eng
Bibeln	Bibeln. · 1817 · fin
Bibeln	Bibeln. · Bibbia di Borso d'Este. · 1937 · lat
Bibeln. Hebreerbrevet	Bibeln. · [Hebreerbrevet] · 1792 · Grekiska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · New Living Translation. · 2011 · swe
Midrash ha-gadol. Moseboken 2	Midrash ha-gadol. · [Moseboken 2]
Bibeln. Klagovisorna	Bible. · [O.T., Lamentations.] · Broughton. · 1608. · eng
Tipitaka. Suttapiṭaka. Khuddakanikāya. Khuddakapātha.	Tipiṭaka. · [Suttapiṭaka., Khuddakanikāya., Khuddakapāṭha]
Den svenska psalmboken	Psalmboken 1819 Sthlm Grahn.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1937 · eng
Bibeln. Höga visan	Bibeln. · [Höga visan.] · nor
Bibeln	Bibeln. · 1703. · 1729 Werner. · swe
Talmud. Urval	Talmud. · Urval. · 1901
Barlaam et Josaphat	Barlaam et Joasaph. · swe
Bibeln. Apokryferna	Bibeln. · [Apokryferna.] · ara
Bibeln	Bibeln. · 1626 · hun
Bibeln. Nya Testamentet. Urval	Bible. N. T. Gothic. Selections. 1946
Ancren riwle	Ancren Riwle
Reynard the Fox	Reynard the fox.
Bibeln	Bible. · 1654. · wel
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · ssa
Þiðreks saga af Bern	Þiðreks saga af Bern. · ger
Bibeln	Bibeln. · Eliot. · 1685. · nai
Bibeln	Bibeln. · 1898 · eng
Bibeln	Bibeln. · Wycliffe. · 1989 · lat · enm
Bibeln	Bibeln. · 1889 · swe
Bibeln. Gamla Testamentet. Urval	Bibeln. · [Nya Testamentet.] · 1783 · grc
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Urval · arc · heb
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1675 · Grekiska
Strengleikar	Strengleikar. · Engelska & fornisländska
William of Palerne	Guillaume de Palerne. Medelengelska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1675 · Grekiska.
Midrash rabba	Midrash Rabba
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1979 · Polyglott.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1891 · swe
Bibeln	Bibeln · tir
Bibeln	Bibeln. · Amerikanska bibelsällskapet · swe
Bibeln	Bibeln. · 1703. · 1821 Rumstedt. · swe
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1767 · heb
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Normaluppl. · 1888 · swe
Bibeln	Bibeln. · 1550 · lat
Bibeln	Bibeln. · 1952 · Revised standard. · eng
Apophthegmata Patrum	Apophthegmata Patrum. · ger
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · nic
Bibeln. Hosea	Bible. · [O.T., Hosea., Neale.] · eng
Tusen och en natt	Tusen och en natt. Italienska
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · 1987 · sme
Bibeln. Jesaja	Bible. · [O.T., Isaiah., Authorised.] · eng
Midrash ha-gadol	Midrash ha-gadol
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna.] · 1946 · fre
Purana. Bhagavatapurana	Puranas. · [Bhāgavatapurāṇa.] · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · sna
Bibeln. Nya Testamentet	Bible. · [N.T.] · Persson et al. · 1928. · Tswa.
Jaina Āgama. Prakīrṇa	Jaina Āgama. · [Paiṇṇaga]
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet] · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Authorized. · 1615. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1883. · 1884 · swe
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · 1588. · wel
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · nor
Tripiṭaka. Sūtrapiṭaka. Abhiniṣkramaṇasūtra	Tripiṭaka. · [Sūtrapiṭaka., Abhiniṣkramaṇasūtra]
Bibeln. Psaltaren	Bible. · [O.T., Psalms.]
Bibeln	Bibeln. · 1846 · sin
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · swe
Barnabasbrevet	Barnabasbrevet. · Franska & grekiska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Diodati. · 1919 · ita
Sachsenspiegel	Sachsenspiegel. · ger · gmh
Bibeln	Bibeln. · 1954 · per
Bibeln	Bibeln · [mellan 1850 och 1860] · Polyglott.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1700 · yid
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Grekiska.
Bibeln. Moseboken 1	Bibeln. · [Psaltaren.] · 1835 · ang · lat
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1959 · ang
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Grekiska. · lat
Bibeln	Bibeln · sme
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · run
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · Komi-syrjänska
Wen xuan	Wen xuan · eng
Gautreks saga	Gautreks saga konungs..
Purana. Brahmāṇḍapurāṇa	Purāṇa. · [Brahmāṇḍa-purāṇa. Kawi]
Bibeln	Bibeln. · 1965 · fre
Gilgamesh	Gilgamesj-eposet. Turkiska
Aisopos fabler. Urval	Aesop's fables. · Selections. · eng
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · Targum Yerushalmi. · 1968 · arc
Imitatio Christi	Imitatio Christi. · Abridgments. · eng
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Sternhold & Hopkins.] · eng
Augsburgska bekännelsen	Confessio Augustana
Koranen	Koranen · ota
Laxdæla saga. Urval	Laxdæla saga. · Urval · ger
Bibeln. Psaltaren	Bibeln. · [Psaltaren. Moru] · ssa
Bibeln. Markusevangeliet	Bibeln. · [Nya Testamentet.] · vie · eng
Bibeln. Moseboken 1	Bibeln. · [Moseboken 1] · heb
Bibeln. Daniel. Urval	Bibeln. · [Daniel.] · Urval. · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Normaluppl. · 1916 · swe
Bibeln	Bibeln · 1670 · ger
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Armenisk transkr. · 1831 · tur
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · 1958 · Grekiska
Bibeln. Moseboken 3	Bibeln. · [3:e Mosebok.] · 1745. · fre
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Åkeson. · 1961 · swe
Povestʹ vremennych let	Povest' vremennych let · swe
Bibeln. Paulus-breven	Bibeln. · [Paulus-breven.] · Grekiska & Svenska
Bibeln	Bibeln. · Vulgata. · 1814 · lat
Aisopos fabler	Aesop's fables. · eng
Bibeln. Skrifterna (Ketuvim)	Bible. · [O.T., Hagiographa., Wells.] · eng
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · Jiddisch, Arameiska & Hebreiska
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · Vepsiska
Bibeln. Matteusevangeliet	Bible. · [N.T.] · Eliot. · 1661. · alg
Bibeln. Breven	Bible. · [N.T., Erasmus.] · lat
Tripiṭaka. Sūtrapiṭaka. Vimalakīrtinirdeśa	Vimalakīrtinirdésa
Bibeln	Bibeln. · 1689 · wel
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · smj
Kalevala	Kalevala. · hun
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1903 · ukr
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · aze
Bibeln	Bibeln. · Tyndale-Coverdale. · 1551. · eng
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet. Turkmeniska]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1908 · Gotiska & grekiska.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · tyv
Talmud Yerushalmi. Berakhot	Talmud yerushalmi. · [Berakhot]
Bibeln	Bibeln. · Codex Vindobonensis. · 1973 · fro
Bibeln. Matteusevangeliet	Bible. · [N.T.] · Selections. · grc
Paulusapokalypsen	Paulusapokalypsen. · non
Völuspá	Völuspá. · Svenska & Fornisländska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Authorized. · 1667. · eng
Veda. Yajurveda	Yajurveda · eng
De tolv patriarkernas testamenten	Testaments of the twelve patriarchs. · 1634. · eng
Mishna. Oholot	Mishna. · [Oholot]
Bibeln. Nya Testamentet	Bible. · [N.T., Wesley.] · eng
Bibeln. Lukasevangeliet	Bibeln. · [Nya Testamentet.] · dut · eng
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Chouraqui. · 1974 · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1808 · fre
Bibeln	Bibeln. · Jerusalem Bible. · 1968 · eng
Beowulf	Beowulf · eng
Bibeln. Gamla Testamentet	Biblia, Test. Vetus - Hebr.
Bibeln	Bibeln. · Authorized. · 1644. · eng
Tipitaka. Suttapiṭaka. Khuddakanikāya. Jātaka	Jātaka. eng
Örvar-Odds saga	Örvar-Odds saga. · nno
Bibeln	Bibeln. · Valera. · 1602 · spa
Bibeln. Breven. Urval	Bible. · [N.T., Epistles., Wells.] · Selections. · English and Greek.
De tolv patriarkernas testamenten	Testaments of the twelve patriarchs. · 1595. · eng
Bibeln	Bibeln. · Hebreiska & Latin
Midrash rabba. Moseboken 1. Urval	Midrash rabba. · [Moseboken 1.] · Urval
Bibeln	Bibeln. · 1852 · hun
Bibeln	Bibeln. · Great Bible. · 1568. · eng
Bibeln	Bibeln. · 1663 · chu
Edda Sæmundar. Urval	Edda Sæmundar. · Urval · dan
Igorkvädet	Slovo o polku Igoreve. · srp
Bibeln	Bibeln · rus
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1710 · ger
Bibeln	Bibeln. · enm
Bibeln. Judit	Bibeln · [Apokryferna., Judit] · ger
Bibeln	Bibeln. · Berkeley version. · 1969 · eng
Mishna. Zeraʻim	Mishna · [Zeraim]
Henoksboken 1	Henoksboken 1. · ger
Avesta. Yasna. Urval	Avesta. · [Yasna 57]
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet] · swe
Bibeln. De katolska breven	Bibeln. · [De katolska breven.] · Koptiska & Tyska
Kalīlah wa-Dimnah	Kalīla wa-Dimna
Gilgamesh	Gilgamesh.
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1899 · fre
Tristrams saga	Tristrams saga. · Tyska & Fornisländska
Bibeln. Moseboken 1	Bible. · [O.T., Genesis.]
Bibeln	Bibeln. · Authorized. · 1618. · eng
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · krl
Bibeln. Jesaja	Bibeln. · [Jesaja.] · Sharpe · eng
Maḥzor. Yom Kippur	Maḥzor. · [Yom Kippur.] · Jiddisch & hebreiska
Bibeln	Bibeln. · [Geneva-Tomson.] · eng
Bibeln. Moseböckerna	Bibeln. · [Moseböckerna.] · 1735 · ger
Bibeln. Johannesbreven	Bible. · [N.T., Epistles of John., Tyndale.] · eng
Bibeln	Bibeln. · Zürcher Bibel. · 1966 · ger
Bibeln. Festrullarna (Megillot)	Bibeln. · [Festrullarna (Megillot).] · heb
Hrafnkels saga Freysgoða	Hrafnkels saga Freysgoða. · 1893
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · New World. · 1976 · swe
Koranen. Urval	Koranen. · [Al-Baqara 253-286. Al-i-Imran 1-92.] · Svenska & Arabiska
Bibeln. Nya Testamentet	Bibeln. · [Psaltaren] · Hebreisk skrift. · 1788 · heb · ger
Purana. Brahmāṇḍapurāṇa	Purāṇa. · [Brahmapurāṇam. Engelska]
Bibeln	Bibeln. · 1863 · swe
Kalīlah wa-Dimnah	Kalīla wa-Dimna. Turkiska
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1875 · swe
Bibeln	Bibeln
Mishna. Taʻanit	Mishna. · [Taanit. Latin & Hebreiska]
Haggada	Haggada. Tjeckiska & Hebreiska
Bhagavadgītā	Bhagavadgı̄tā. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Folkbibeln. · 1996 · swe
Talmud Yerushalmi. Berakhot	Talmud yerushalmi. · [Berakhot.] · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1859 · Grekiska.
Færeyinga saga	Færeyinga saga. · fao · dan · non
Bibeln. Paulus-breven. Urval	Bibeln. · [Paulus-breven.] · Urval. · 1917. · 1959 · swe
Pancatantra	Pan̄catantra. Persiska
Bibeln. Psaltaren	Bible. · [O.T., Psalms., Caryll.] · eng
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1522 · lat
Bibeln	Bibeln. · Jerusalem Bible. · 1970 · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1855 · swe
Bibeln. Lukasevangeliet. Urval	Bibeln. · [Lukasevangeliet.] · Urval. · Rusjanska
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · 1598. · dan
Hávamál	Hávamál · swe
Domesday book	Domesday book. · [Gloucestershire.]
Kalevala	Kalevala · fre
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet. Kroatiska]
Aisopos fabler	Aesop's fables. · 1667. · lat
De tolv patriarkernas testamenten	Testaments of the twelve patriarchs. · 1693. · eng
Yogācārabhūmi. Śrāvakabhūmi. Yogasthāna. Laukikamārga	Yogācārabhūmi. · [Śrāvakabhūmi., Laukikamārga]
Bibeln	Bibeln. · 1703. · 1815 Rumstedt. · swe
Bibeln	Bibeln. · Tremellius. · 1640. · lat
De tolv patriarkernas testamenten	3 Testaments of the twelve patriarchs.
Bibeln. Apokryferna	Bibeln. · [Apokryferna.] · 1997 · Grekiska & Engelska.
Bibeln	Bibeln. · Ludvig IX · lat
Bibeln. Apokryferna	Bibeln. · [Apokryferna.] · 1841 · ger
Morkinskinna	Morkinskinna.
Erikskrönikan	Erikskrönikan. · fre
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1954 · Hebreiska & Tyska.
Bibeln. Profetiska böckerna	Bibeln. · [Profetiska böckerna.] · heb
Bibeln. Romarbrevet	Bibeln. · [Romarbrevet.] · Ingman. · 1861 · fin
Mahābhārata. Sauptikaparvan	Mahābhārata. · [Sauptikaparvan. Engelska]
Tipitaka. Suttapiṭaka. Khuddakanikāya. Suttanipāta	Sutta-Nipāta · swe
Kalevala	Kalevala. · swa
Haggada	Haggadah (Reconstructionist). English & Hebrew
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Revised standard · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1703. · 1826 Rumstedt. · swe
Zohar	Zohar · eng
Koranen	Koranen. · ice
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Kymriska. New Welsh Bible
Bibeln. Höga visan	Bible. · [O.T., Song of Solomon., Gill.] · eng
Bibeln	Bibeln · 1684 · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1690 · dut
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1730 · lat
Bueve de Hanstone	Beuve de Hanstone
Tusen och en natt	Tusen och en natt. · srp
Bibeln. Matteusevangeliet. Urval	Bibeln. · [Matteusevangeliet.] · Urval · Franska & Engelska.
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · Tobler. · 1867 · ger
Talmud. Urval	Talmud. · [Urval.] · 1970
Catonis disticha	Catonis disticha · Grekiska
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · Fjellstedt. · 1989 · swe
Ramayana	Râmâyaṇa (Old Javanese Kakawin). · [Uttarakāṇḍa. English & Kawi]
Bibeln. Job	Bibeln. · [Job.] · Merx · Hebreiska & Tyska.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Tillmann. · 1962 · ger
Tusen och en natt	Tusen och en natt. · hun
Bibeln. Nya Testamentet	Bibeln. · [Apostlagärningarna.] · fiu
Egils saga Skallagrímssonar	Egils saga Skallagrimssonar. · dan
Kalīlah wa-Dimnah	Kalīla wa-Dimna. · ara
Bibeln. Profetiska böckerna	Bibeln. · [Profetiska böckerna. Hebreiska]
Altsächsische Genesis	Genesis anglosachs. dikt fr. 700-talet
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet.] · 1951 · swe
Midrash ha-gadol. Moseboken 5. Urval	Midrash ha-gadol. · [Moseboken 5.] · Urval
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1843 · mal
Bibeln. Nya Testamentet	Bible. · [N.T.] · Grekiska.
Mahābhārata	Mahābhārata. · fin
Bibeln. Markusevangeliet	Bibeln. · [Markusevangeliet.] · Kunama
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · Normaluppl. · 1896 · swe
Talmud Yerushalmi. Berakhot	Talmud yerushalmi. · [Minor tractates]
Bibeln	Bibeln. · 1736 · fre
Apokryferna (Nya testamentet)	Apokryferna (Nya testamentet). · Grekiska-Latin & Franska
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · 1917. · 1919 · swe
Salomon und Markolf	Salomo & Marcolphus
Bibeln. Job	Bibeln. · [Job.] · Tingstadius. · 1807 · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1703. · 1820 Rumstedt. · swe
Bibeln. Urval	Bible. · Selections. · 1596. · dan
Bhagavadgītā	Bhagavadgītā. · 1948 · san · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1917. · 1929 · swe
Jómsvikinga saga	Jómsvíkinga saga. · Svenska & Isländska
Bibeln	Bibeln. · may
Hymn till Afrodite	Homeriska hymnen till Afrodite. · (Lucas) · eng
Koranen	Koranen. Franska & Arabiska
Bibeln. Höga visan	Bible. · [O.T., Song of Solomon., Stennett.] · eng
Espill de la vida religiosa	Spill de la vida religiosa. · eng
Popol vuh	Popol Vuh · swe
Jómsvikinga saga	Jómsvikinga saga. · dan
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet] · swe
Mishna. Avot	Mishna. · [Avot. Engelska & hebreiska]
Batrachomyomachia	Batrachomyomachia · eng
Bibeln. Psaltaren	Bible. · [O.T., Psalms.] · 1641 · eng
Bibeln. Evangelierna	Bible. · [N.T., Gospels.] · eng
Bibeln. Job	Bibeln. · [Job.] · Schlottmann. · 1851 · ger
Bibeln	Bibeln. · 1900 · mul
Bibeln. Romarbrevet. Urval	Bibeln. · [Romarbrevet.] · Urval. · got
Bibeln	Bibeln. · 1703. · 1801 Lindh. · swe
Bibeln	Bibeln. · Authorized. · 1639. · eng
Bibeln	Bible. · Standard. · 2001. · eng
Bibeln. Profetiska böckerna	Bible. · [O.T., Prophets., Wells.] · Polyglot.
Peri tēs tou pantos physeōs	Peri tēs tou pantos physeōs. · fre
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1810 · Grekiska & Nygrekiska
Færeyinga saga	Færeyinga saga. · fao
Bibeln	Bibeln. · 1661. · eng
Bibeln. Skrifterna (Ketuvim)	Bibeln. · [Skrifterna (Ketuvim).] · arc
Bibeln. Psaltaren	Bibeln. · [Psaltaren.] · 1843 · Hebreiska & Engelska.
Bibeln. Uppenbarelseboken	Bible. · [N.T., Revelation., Cooke.] · eng
Bibeln. Evangelierna	Bible. · [Gospels.] · Selections. · 1929. · gle
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Myrberg. · 1895 · swe
Bibeln	Bibeln. · Genève. · 1635 · fre
Bibeln. Daniel	Bibeln. · [Daniel.] · heb
Bibeln. Ester	Bibeln. · [Esters bok.] · 1549 · swe
Bibeln. Job	Bibeln. · [Jobs bok.] · 1903 · eng
Bibeln	Bibeln. · Vulgata. · 1591 · lat
Bibeln. Evangelierna	Bibeln. · [Evangelierna. Polska]
Bibeln	Bibeln. · Geneva. · 2014 · eng
Koranen	Koranen. · rum · ara
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1653 · Grekiska
Bibeln. Korinthierbreven	Bibeln. · [Korinthierbreven.] · lat
Bibeln. Nya Testamentet	Bible. · [O.T., Psalms., Johnston.] · eng
Bibeln. Psaltaren	Bibeln. · [Psaltaren] · 1877 · swe
Bibeln. Job	Bible. · [O.T., Job., Scott.] · eng
Kalevala	Kalevala · Ryska & Finska
Bibeln	Bibeln. · 1999 · swe
Tipitaka. Suttapiṭaka. Aṅguttaranikāya	Tipitaṭaka. · [Suttantapiṭaka., Aṅguttaranikāya., Aṭṭhakanipāta., Navakanipāta., Dasakanipāta., Ekādasakanipāta.] · pli
Bibeln. Höga visan	Bible. · [O.T., Song of Solomon.] · wel
Tipitaka. Suttapiṭaka. Majjhimanikāya	Tipiṭaka. · [Suttantapitaka., Majjhimanikāya. Pali & Thai]
Bibeln. Urval	Bibeln. Ungerska. · Urval
Knýtlinga saga	Knýtlinga saga. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet] · lat
