	Libris	Titel	Fil namn	Äldre länk	
	http://libris.kb.se/bib/10510293	Funktionshindrade personer år 2006	2007-44-4_2007444.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9342/2007-44-4_2007444.pdf	
	http://libris.kb.se/bib/9493290	För en kunskapsbaserad socialtjänst :	2004-131-11.pdf	http://www.socialstyrelsen.se/publikationer2004/2004-131-11.pdf	
	http://libris.kb.se/bib/10315732	För varandra :	200612349.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/0CD90669-CC9A-4617-A84E-D65DF7145454/6677/200612349.pdf	
	http://libris.kb.se/bib/20172784	Förbättrad nationell samordning om läkares vidareutbildning	2016-11-12.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20407/2016-11-12.pdf	
	http://libris.kb.se/bib/10648190	Förbättringsprocessen hos personer med svår psykisk störning och missbruksproblem	2004-123-11_200412311.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10394/2004-123-11_200412311.pdf	
	http://libris.kb.se/bib/20908498	Fördelning av prestationsersättning för 2013 till kommuner för lokala värdighetsgarantier	lokala-vardighetsgarantier-2013-fordelning.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/lokala-vardighetsgarantier-2013-fordelning.pdf	
	http://libris.kb.se/bib/20912870	Fördelning av utvecklingsmedel för 2013 till kommuner/stadsdelsförvaltningar för arbete mot våld i nära relationer	utvecklingsmedel-vald-i-nara-relationer-2013-reviderad-fordelning-kommuner.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/utvecklingsmedel-vald-i-nara-relationer-2013-reviderad-fordelning-kommuner.pdf	
	http://libris.kb.se/bib/19590089	Fördelningslista Statsbidrag Kvinno- och tjejjourer 2016-2017	Statsbidrag-Fordelningslista-kvinno-och-tjejjourer-2016-2017.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/Statsbidrag-Fordelningslista-kvinno-och-tjejjourer-2016-2017.pdf	
	http://libris.kb.se/bib/17552668	Fördjupningskoder till ICD-10-SE	fordj2015.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/fordj2015.pdf	
	http://libris.kb.se/bib/17979754	Förebyggande av spridning av MRSA från människa till lantbrukets djur.	2015-4-13.pdf	http://www.socialstyrelsen.se/publikationer2015/2015-4-13.pdf	
	http://libris.kb.se/bib/8841716	Förebyggande hembesök :	2002-131-1.pdf	http://www.socialstyrelsen.se/publikationer2002/2002-131-1.pdf	
	http://libris.kb.se/bib/10157030	Förekom övergrepp och kränkningar vid institutioner inom den sociala barnavården 1950-1980?	200613111.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/64849984-DCFD-4D56-A51E-881AB37FD37D/5272/200613111.pdf	
	http://libris.kb.se/bib/10646957	Förekom övergrepp och kränkningar vid institutioner inom den sociala barnavården 1950-1980?	2006-131-11_200613111.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9719/2006-131-11_200613111.pdf	
	http://libris.kb.se/bib/20052106	Företagshälsovårdens kompetensförsörjning - En förstudie om hur fler läkare ska vilja välja att utbilda sig inom tilläggsspecialiteten arbetsmedicin	2016-10-32.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20390/2016-10-32.pdf	
	http://libris.kb.se/bib/19778331	Förlängning av uppdrag till Socialstyrelsen om förlossningsvården och hälso- och sjukvård som rör kvinnors hälsa		http://www.regeringen.se/regeringsuppdrag/2016/10/forlangning-av-uppdrag-till-socialstyrelsen-om-forlossningsvarden-och-halso--och-sjukvard-som-ror-kvinnors-halsa/	
	http://libris.kb.se/bib/10646125	Förslag till en nationell handlingsplan för barns miljörelaterade hälsa	2007-131-28_200713128.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9282/2007-131-28_200713128.pdf	
	http://libris.kb.se/bib/17223349	Förslag till nationell strategi för ökad patientsäkerhet	patientsakerhet.pdf	http://www.socialstyrelsen.se/patientsakerhet.pdf	
	http://libris.kb.se/bib/10647163	Förstärkt tillsyn av vård och omsorg för äldre vid länsstyrelserna och Socialstyrelsens regionala tillsynsenheter	2005-109-6_20051096.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9948/2005-109-6_20051096.pdf	
	http://libris.kb.se/bib/20908457	Förteckning 2014 över nationella fördjupningskoder till Internationell statistisk klassifikation av sjukdomar och relaterade hälsoproblem - systematisk förteckning, svensk version 2011 (ICD-10-SE)	fordjupningskoder-2014.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/fordjupningskoder-2014.pdf	
	http://libris.kb.se/bib/20908468	Förteckning 2014 över nationella fördjupningskoder till Internationell statistisk klassifikation av sjukdomar och relaterade hälsoproblem - systematisk förteckning, svensk version 2011 (ICD-10-SE)	fordjupningskoder-till-icd-10-se-2014.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/fordjupningskoder-till-icd-10-se-2014.pdf	
	http://libris.kb.se/bib/21086838	Förteckning över ramavtalsområden	forteckning-over-ramavtalsomraden.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/forteckning-over-ramavtalsomraden.pdf	
	http://libris.kb.se/bib/18389734	Förutsättningar för att beviljas statsbidrag för viss verksamhet på funktionshindersområdet	information-forutsattningar-beviljas-statsbidrag-viss-verksamhet-2016.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/information-forutsattningar-beviljas-statsbidrag-viss-verksamhet-2016.pdf	
	http://libris.kb.se/bib/10343709	Föräldrar med utvecklingsstörning och deras barn - vad finns det för kunskap?	2005-123-3_20051234.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10097/2005-123-3_20051234.pdf	
	http://libris.kb.se/bib/19370071	Gemensam informationsstruktur - Rapportering från regeringsuppdrag 2015	2016-1-33.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20061/2016-1-33.pdf	
	http://libris.kb.se/bib/19304848	Gemensam informationsstruktur :	2016-1-33.pdf	http://www.socialstyrelsen.se/publikationer2016/2016-1-33.pdf	
	http://libris.kb.se/bib/22543753	Gemensam vårdnad - vad innebär det?	2013-9-9.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19193/2013-9-9.pdf	
	http://libris.kb.se/bib/9427798	Genus och civilt samhälle.	2004-123-10_200412311.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10393/2004-123-10_200412311.pdf	
	http://libris.kb.se/bib/19590081	GMF - Generell Motorisk Funktionsbedömning - Granskning	GMF-granskning.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/GMF-granskning.pdf	
	http://libris.kb.se/bib/11358270	God hygienisk standard i kommunal vård, omsorg och hemsjukvård	2008-124-1_20081241.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8696/2008-124-1_20081241.pdf	
	http://libris.kb.se/bib/11358273	God kvalitet i socialtjänsten	2008-101-2_20081012.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8580/2008-101-2_20081012.pdf	
	http://libris.kb.se/bib/10646966	God vård	2006-101-2_20061012.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9406/2006-101-2_20061012.pdf	
	http://libris.kb.se/bib/16568630	God vård i livets slut	2004-123-9_200412391.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10433/2004-123-9_200412391.pdf	
	http://libris.kb.se/bib/10646973	Grundbok barns behov i centrum (BBIC)	2006-110-7_rev_20061107.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9524/2006-110-7_rev_20061107.pdf	
	http://libris.kb.se/bib/10650680	Halvvägs för Anhörig 300.	2000-0-86_0000086.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11758/2000-0-86_0000086.pdf	
	http://libris.kb.se/bib/14223371	Handbok för effektivitetsanalyser :	publikationer.pdf	http://www.socialstyrelsen.se/publikationer.pdf	
	http://libris.kb.se/bib/21139042	Handbok för utveckling av indikatorer - För god vård och omsorg	2014-7-3.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19483/2014-7-3.pdf	
	http://libris.kb.se/bib/10646980	Handikappomsorg	2006-131-4_20061314.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9748/2006-131-4_20061314.pdf	
	http://libris.kb.se/bib/10389565	Handikappomsorg	20061316.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/D2110ADD-26D1-49F9-B2CE-D18423E34FCB/4976/20061316.pdf	
	http://libris.kb.se/bib/10646141	Handikappomsorg	2007-131-7_20071317_rev.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9307/2007-131-7_20071317_rev.pdf	
	http://libris.kb.se/bib/10647177	Handledning om kvinnlig könsstympning för polis och åklagare	2005-131-31_200513131.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10173/2005-131-31_200513131.pdf	
	http://libris.kb.se/bib/22128120	Handlingspolicy avseenede kontroll av VTEC	handlingspolicy-VTEC.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/handlingspolicy-VTEC.pdf	
	http://libris.kb.se/bib/10420132	Handläggning och dokumentation av ärenden som rör barn och unga	2006_12.pdf	http://www.socialstyrelsen.se/sosfs/2006-12/Documents/2006_12.pdf	
	http://libris.kb.se/bib/10646988	Handläggning och dokumentation inom socialtjänsten	2006-101-4_20061014.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9408/2006-101-4_20061014.pdf	
	http://libris.kb.se/bib/11358287	Handläggning och dokumentation inom socialtjänsten	2008-101-1_20081011.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8579/2008-101-1_20081011.pdf	
	http://libris.kb.se/bib/12053993	Handläggning och dokumentation inom socialtjänsten	2010-6-13.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/18067/2010-6-13.pdf	
	http://libris.kb.se/bib/11896785	Handläggning och dokumentation inom socialtjänsten :	2010-6-13.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/18067/2010-6-13.pdf	
	http://libris.kb.se/bib/11790165	Health care report 2009	2009-9-18.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/17742/2009-9-18.pdf	
	http://libris.kb.se/bib/11854411	Health care report 2009	2009-9-18.pdf	http://www.socialstyrelsen.se/publikationer2009/2009-9-18.pdf	
	http://libris.kb.se/bib/10648104	Hemlösa män i Stockholm	2004-131-14_200413116.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10473/2004-131-14_200413116.pdf	
	http://libris.kb.se/bib/9511915	Hemlösa män i Stockholm :	2004-131-14.pdf	http://www.socialstyrelsen.se/publikationer2004/2004-131-14.pdf	
	http://libris.kb.se/bib/18535219	Hemlöshet	2013-5-3.pdf	https://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19052/2013-5-3.pdf	
	http://libris.kb.se/bib/18535219	Hemlöshet	2013-5-3.pdf	http://www.socialstyrelsen.se/publikationer2013/2013-5-3.pdf	
	http://libris.kb.se/bib/14662315	Hemlöshet :	2013-5-3.pdf	http://www.socialstyrelsen.se/publikationer2013/2013-5-3.pdf	
	http://libris.kb.se/bib/10119948	Hemlöshet i Sverige 2005	200613116.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/3D8A615C-D357-452E-8B72-8F4710471573/5468/200613116.pdf	
	http://libris.kb.se/bib/11358293	Hemlöshetsprojekt 2005-2007	2008-103-12_200810313.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8595/2008-103-12_200810313.pdf	
	http://libris.kb.se/bib/17973078	Hemvård - en kartläggning av översikter	2014-12-22.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19630/2014-12-22.pdf	
	http://libris.kb.se/bib/11358298	HIV och Aids i Sverige	2008-123-1_20081232.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8679/2008-123-1_20081232.pdf	
	http://libris.kb.se/bib/11358306	Hjärtfel och klaffel	2008-102-4_20081025.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8589/2008-102-4_20081025.pdf	
	http://libris.kb.se/bib/20908508	Hjärtfel och klaffel - vetenskapligt underlag för Nationella riktlinjer för hjärtsjukvård 2008	nr-hjartsjukvard-2008-vetenskapligtunderlag-hjartfelochklaffel.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/nr-hjartsjukvard-2008-vetenskapligtunderlag-hjartfelochklaffel.pdf	
	http://libris.kb.se/bib/11358203	Hjärtsjukdomar	2008-114-1_20081142.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8648/2008-114-1_20081142.pdf	
	http://libris.kb.se/bib/11358312	Hjärtsvikt	2008-102-1_20081022.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8586/2008-102-1_20081022.pdf	
	http://libris.kb.se/bib/20908511	Hjärtsvikt - Vetenskapligt underlag för Nationella riktlinjer för hjärtsjukvård 2008	nr-hjartsjukvard-2008-vetenskapligtunderlag-hjartsvikt.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/nr-hjartsjukvard-2008-vetenskapligtunderlag-hjartsvikt.pdf	
	http://libris.kb.se/bib/17414677	Hjärttransplantationer som rikssjukvård - utvärdering 2011-2013	2014-10-38.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19577/2014-10-38.pdf	
	http://libris.kb.se/bib/20210860	HSLF- FS 2016:94 Föreskrifter om avstängning från blodgivning pga zikavirus	2016-12-27.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20433/2016-12-27.pdf	
	http://libris.kb.se/bib/19796169	HSLF-FS 2016:24 Socialstyrelsens föreskrifter om ändring i föreskrifterna (SOSFS 2014:7) om behörighet att utföra vissa arbetsuppgifter i socialtjänstens barn- och ungdomsvård	2016-3-28.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20123/2016-3-28.pdf	
	http://libris.kb.se/bib/20907347	HSLF-FS 2017:21 Ändring i föreskrifterna (SOSFS 2005:29) om utfärdande av intyg inom hälso- och sjukvården m.m.	2017-3-19.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20519/2017-3-19.pdf	
	http://libris.kb.se/bib/20907048	HSLF-FS 2017:22 Ändring i föreskrifterna och allmänna råden (SOSFS 2005:28) om anmälningsskyldighet enligt lex Maria	2017-3-10.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20510/2017-3-10.pdf	
	http://libris.kb.se/bib/22697799	HSLF-FS 2017:55 Socialstyrelsens föreskrifter om ändring i föreskrifterna (SOSFS 2005:29) om utfärdande av intyg inom hälso- och sjukvården m.m.	2017-10-5.pdf	http://www.socialstyrelsen.se.se/Lists/Artikelkatalog/Attachments/20685/2017-10-5.pdf	
	http://libris.kb.se/bib/22597551	HSLF-FS 2017:71 Ändring i föreskrifterna (SOSFS 2001:16) om kompetenskrav för sjuksköterskor vid förskrivning av läkemedel	2017-12-28.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20784/2017-12-28.pdf	
	http://libris.kb.se/bib/10650474	Huntingtons sjukdom i familjen	2001-114-11_200111412.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11379/2001-114-11_200111412.pdf	
	http://libris.kb.se/bib/9775280	Hur många direkt underställda kan en chef ha?	200313123.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/8300E333-0FFF-4E06-A3C4-F777D8809691/876/200313123.pdf	
	http://libris.kb.se/bib/14224988	Hur utvecklar landstingen vårddokumentationens innehåll och struktur? :	publikationer.pdf	http://www.socialstyrelsen.se/publikationer.pdf	
	http://libris.kb.se/bib/9892130	Husraset vid bröllopsfesten i Jerusalem 2001 /	2005-123-2_20051232.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10086/2005-123-2_20051232.pdf	
	http://libris.kb.se/bib/11358315	Hygien, smittskydd och miljöbalken	2008-101-3_20081013.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8581/2008-101-3_20081013.pdf	
	http://libris.kb.se/bib/10908496	Hygien, smittskydd och miljöbalken :	2008-101-3_20081013.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8581/2008-101-3_20081013.pdf	
	http://libris.kb.se/bib/20909034	Håga-projektet	r31-haga-studien-slutrapport.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/r31-haga-studien-slutrapport.pdf	
	http://libris.kb.se/bib/8427463	Hälsa på Internet :	2002-103-4_20021035.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10903/2002-103-4_20021035.pdf	
	http://libris.kb.se/bib/11358323	Hälso- och sjukvård	2008-131-7_20081317_rev.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8864/2008-131-7_20081317_rev.pdf	
	http://libris.kb.se/bib/8904815	Hälso- och sjukvård :	20031316.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/F0F6ED84-66C8-450A-9572-EDE045ADBD13/1007/20031316.pdf	
	http://libris.kb.se/bib/9415414	Hälso- och sjukvård :	2004-131-4.pdf	http://www.socialstyrelsen.se/publikationer2004/2004-131-4.pdf	
	http://libris.kb.se/bib/22173074	Hälso- och sjukvårdspersonalens syn på rådgivning om alkohol	halso-och-sjukvardspersonalens-syn-pa-radgivning-om-alkohol.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/halso-och-sjukvardspersonalens-syn-pa-radgivning-om-alkohol.pdf	
	http://libris.kb.se/bib/8433850	Hälso- och sjukvårdsrapport.	2001-111-6.pdf	http://www.socialstyrelsen.se/publikationer2001/2001-111-6.pdf	
	http://libris.kb.se/bib/10650486	Hälso- och sjukvårdsrapport.	2001-111-6_20011117.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11372/2001-111-6_20011117.pdf	
	http://libris.kb.se/bib/10074878	Hälso- och sjukvårdsrapport.	20051114.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/274D32B8-45FE-4180-8E59-E2F71AC36763/4556/20051114.pdf	
	http://libris.kb.se/bib/10647181	Hälso- och sjukvårdsrapport.	2005-111-4_20051114.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/9969/2005-111-4_20051114.pdf	
	http://libris.kb.se/bib/10648920	Hälso- och sjukvårdsstatistisk årsbok.	2002-46-1_2002462.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/11248/2002-46-1_2002462.pdf	
	http://libris.kb.se/bib/9065288	Hälso- och sjukvårdsstatistisk årsbok.	k10.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/49F464FC-286B-4D32-AA04-7B34377ECC24/1284/k10.pdf	
	http://libris.kb.se/bib/10647992	Hälsodataregister räddar liv och förbättrar livskvalitet	2005-114-4_20051144.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10010/2005-114-4_20051144.pdf	
	http://libris.kb.se/bib/11257509	Hälsodataregister räddar liv och förbättrar livskvalitet	2008-126-27.pdf	http://www.socialstyrelsen.se/publikationer2008/2008-126-27.pdf	
	http://libris.kb.se/bib/11578968	Hälsofrämjande hälso- och sjukvård? :	200513135.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/92C2CE95-6381-4C6A-BC64-0CE4ABA2D54F/4287/200513135.pdf	
	http://libris.kb.se/bib/11177238	Hälsorelaterade miljökvalitetsmål, delmål och åtgärder för ett hållbart Sverige	9977009.pdf	http://www.socialstyrelsen.se/NR/rdonlyres/A308986E-D3BA-41CD-B40D-EC7A6E45A63C/1954/9977009.pdf	
	http://libris.kb.se/bib/20901318	Hälsoärende - förutsättningen för ett process-id inom hälso- och sjukvården	2013-10-2.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19205/2013-10-2.pdf	
	http://libris.kb.se/bib/20052459	ICD 10-SE. Nya koder, borttagna koder och ändrade kodtexter till Internationell statistisk klassifikation av sjukdomar och relaterade hälsoproblem, version 2016, inklusive fördjupningskoder	ICD10SE-kodtextandr2017.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/ICD10SE-kodtextandr2017.pdf	
	http://libris.kb.se/bib/19136191	ICD-10-Se	ICD-10-SE.xls	http://www.socialstyrelsen.se/SiteCollectionDocuments/ICD-10-SE.xls	
	http://libris.kb.se/bib/17552665	ICD10SE kodtext ändringar 2015	ICD10SE-kodtextandr2015.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/ICD10SE-kodtextandr2015.pdf	
	http://libris.kb.se/bib/17552853	ICD10SE kum 2015	ICD10SE-kum2015.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/ICD10SE-kum2015.pdf	
	http://libris.kb.se/bib/17552860	ICD10SE Rättelser 2015	ICD10SE-rattelser2015.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/ICD10SE-rattelser2015.pdf	
	http://libris.kb.se/bib/17552666	ICD10SE ändringar 2015	ICD10SE-andr2015.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/ICD10SE-andr2015.pdf	
	http://libris.kb.se/bib/20052527	ICD-10-SE. Internationell statistisk klassifikation av sjukdomar och relaterade hälsoproblem - systematisk förteckning, svensk version 2016 (ICD-10-SE)	ICD-10-SE2017.xls	http://www.socialstyrelsen.se/SiteCollectionDocuments/ICD-10-SE2017.xls	
	http://libris.kb.se/bib/20052526	ICD-10-SE. Ändringar och tillägg. Internationell statistisk klassifikation av sjukdomar och relaterade hälsoproblem - systematisk förteckning, svensk version 2016 gällande från den 1 januari 2017	ICD10SE-andr2017.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/ICD10SE-andr2017.pdf	
	http://libris.kb.se/bib/10648460	IFO-mässa 2003.	2003-117-1_20031172.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10677/2003-117-1_20031172.pdf	
	http://libris.kb.se/bib/20718758	Implementationsguide - gemensam metadata för kunskapsstöd.	2017-2-6.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/20482/2017-2-6.pdf	
	http://libris.kb.se/bib/10648229	Implementering av BBIC-projektet i socialtjänstens organisationer	2004-123-32.pdf	http://www.socialstyrelsen.se/publikationer2004/2004-123-32.pdf	
	http://libris.kb.se/bib/9717954	Implementering av BBIC-projektet i socialtjänstens organisationer :	2004-123-32.pdf	http://www.socialstyrelsen.se/publikationer2004/2004-123-32.pdf	
	http://libris.kb.se/bib/10648737	Individ- och familjeomsorg	2003-131-3_20031314.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/10807/2003-131-3_20031314.pdf	
	http://libris.kb.se/bib/11767320	Individ- och familjeomsorg	2009-126-45_200912645_rev2.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/8466/2009-126-45_200912645_rev2.pdf	
	http://libris.kb.se/bib/8372102	Individuell plan på den enskildes villkor :	2000-0-75.htm	http://www.socialstyrelsen.se/Publicerat/2000/3185/2000-0-75.htm	
	http://libris.kb.se/bib/17223311	Infektion med Cryptosporidium - ett nationellt strategidokument	2014-6-8.pdf	http://www.socialstyrelsen.se/publikationer2014/2014-6-8.pdf	
	http://libris.kb.se/bib/16997888	Infektion med cryptosporidium :	2014-6-8.pdf	http://www.socialstyrelsen.se/publikationer2014/2014-6-8.pdf	
	http://libris.kb.se/bib/17973082	Infektion med EHEC/VTEC - ett nationellt strategidokument	2014-12-17.pdf	http://www.socialstyrelsen.se/Lists/Artikelkatalog/Attachments/19625/2014-12-17.pdf	
	http://libris.kb.se/bib/17919026	Infoblad Läkemedelsbehandling av äldre	infoblad-lakemedelsbehandling-av-aldre-2014-11-03.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/infoblad-lakemedelsbehandling-av-aldre-2014-11-03.pdf	
	http://libris.kb.se/bib/22184462	Infoblad om elevhälsan	infoblad-elevhalsan.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/infoblad-elevhalsan.pdf	
	http://libris.kb.se/bib/18437348	Information om ansökan om statsbidrag till pensionärsorganisationer för 2016	information-statsbidrag-pensionarsorganisationer-2016.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/information-statsbidrag-pensionarsorganisationer-2016.pdf	
	http://libris.kb.se/bib/17552868	Information om att det går att ansöka om statsbidrag om statsbidrag till pensionärsorganisationer för år 2015	information-statsbidrag-pensionarsorganisationer-2015.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/information-statsbidrag-pensionarsorganisationer-2015.pdf	
	http://libris.kb.se/bib/20902353	Information om att organisationer för professioner verksamma inom hälso- och sjukvården kan ansöka om bidrag för att stödja införandet av nationella riktlinjer för sjukdomsförebyggande metoder	nr-inbjudan-ansoka-bidrag-2014.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/nr-inbjudan-ansoka-bidrag-2014.pdf	
	http://libris.kb.se/bib/17869540	Information om fritidspeng - brev 141111	brev-information-om-fritidspeng-141111.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/brev-information-om-fritidspeng-141111.pdf	
	http://libris.kb.se/bib/18389726	Information om månadsstatistik för ekonomiskt bistånd	information-manadsstatistik-ekonomiskt-bistand.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/information-manadsstatistik-ekonomiskt-bistand.pdf	
	http://libris.kb.se/bib/20031885	Information om Socialstyrelsens beredskapslagring av antidoter och infusionsvätskor	default.aspx.pdf	http://www.socialstyrelsen.se/publikationer2016/2016-12-39/Sidor/default.aspx.pdf	
	http://libris.kb.se/bib/20908489	Information om statsbidrag för 2014 till kompetenscentrum på tandvårdsområdet	kompetenscentrum-tandvard-2014-information-anvisningar.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/kompetenscentrum-tandvard-2014-information-anvisningar.pdf	
	http://libris.kb.se/bib/22543734	Information om statsbidrag för 2014 till vissa juridiska personer som tillhandahåller sysselsättning till personer med psykisk funktionsnedsättning	sysselsattning-juridiska-personer-2014-information-att-soka.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/sysselsattning-juridiska-personer-2014-information-att-soka.pdf	
	http://libris.kb.se/bib/20902511	Information om statsbidrag till kommuner för Omvårdnadslyftet 2014	omvardnadslyftet-2014-informationsbrev.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/omvardnadslyftet-2014-informationsbrev.pdf	
	http://libris.kb.se/bib/18437367	Information om statsbidrag till kompetenscentrum på tandvårdsområdet för 2016	information-statsbidrag-kompetenscentrum-tandvard-2016.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/information-statsbidrag-kompetenscentrum-tandvard-2016.pdf	
	http://libris.kb.se/bib/22534552	Information om statsbidrag till organisationer som stödjer dem som vårdar och hjälper någon närstående år 2014	anhorigorganisationer-infobrev-2014.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/anhorigorganisationer-infobrev-2014.pdf	
	http://libris.kb.se/bib/18389614	Information om återrapportering av statsbidrag till organisationer för professionen och patienterna för bättre vård vid kroniska sjukdomar 2015	information-aterrapportering-statsbidrag-battre-vard-kroniska-sjukdomar-2015.pdf	http://www.socialstyrelsen.se/SiteCollectionDocuments/information-aterrapportering-statsbidrag-battre-vard-kroniska-sjukdomar-2015.pdf	
